vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
2,1/1/18 14:56,1/1/18 15:10,2,7.56,1,N,1,22,0.00E+00,0.5,4.44,5.76,0.3,33,138,263
2,1/1/18 14:10,1/1/18 14:42,1,19.19,3,N,1,69,0.00E+00,0.00E+00,16.86,15,0.3,101.16,230,1
1,1/1/18 15:16,1/1/18 15:39,1,10.9,1,N,1,31.5,0.00E+00,0.5,6.45,0.00E+00,0.3,38.75,138,198
1,1/1/18 15:26,1/1/18 15:45,2,8.1,1,N,1,25,0.00E+00,0.5,5.15,0.00E+00,0.3,30.95,231,166
2,1/1/18 15:03,1/1/18 15:29,1,9.57,1,N,1,30,0.00E+00,0.5,7.31,5.76,0.3,43.87,186,95
2,2/20/18 22:57,2/20/18 23:19,1,9.67,1,N,1,28.5,0.5,0.5,5.96,0.00E+00,0.3,35.76,148,42
2,2/20/18 22:50,2/20/18 23:19,1,7.67,1,N,1,25.5,0.5,0.5,5.36,0.00E+00,0.3,32.16,112,230
1,2/21/18 1:01,2/21/18 1:21,1,8.8,1,N,1,27,0.5,0.5,6.8,5.76,0.3,40.86,138,100
2,2/21/18 6:58,2/21/18 7:25,3,11.38,1,N,1,34.5,0.00E+00,0.5,8.21,5.76,0.3,49.27,230,138
2,2/21/18 8:16,2/21/18 8:48,5,12.96,1,N,1,39,0.00E+00,0.5,12,0.00E+00,0.3,51.8,224,242
2,2/21/18 8:31,2/21/18 9:07,2,15.16,1,N,1,44,0.00E+00,0.5,10.11,5.76,0.3,60.67,138,87
2,2/21/18 8:10,2/21/18 8:11,3,0.25,1,N,1,3,0.00E+00,0.5,3.35,0.00E+00,0.3,7.15,90,90
1,2/21/18 9:39,2/21/18 10:21,0,5.8,1,N,1,29.5,0.00E+00,0.5,7.55,0.00E+00,0.3,37.85,87,230
1,2/21/18 9:55,2/21/18 10:24,1,11.3,1,N,1,35,0.00E+00,0.5,7.15,0.00E+00,0.3,42.95,113,138
2,2/21/18 10:10,2/21/18 10:38,1,9.39,1,N,1,30.5,0.00E+00,0.5,5.56,5.76,0.3,42.62,138,236
2,2/21/18 10:19,2/21/18 10:52,6,7.04,1,N,1,27,0.00E+00,0.5,5.56,0.00E+00,0.3,33.36,239,261
2,2/21/18 11:42,2/21/18 12:34,1,10.83,1,N,1,38.5,0.00E+00,0.5,11.26,5.76,0.3,56.32,161,227
1,2/21/18 11:25,2/21/18 11:49,2,7.5,1,N,1,25,0.00E+00,0.5,5.15,0.00E+00,0.3,30.95,162,231
2,2/21/18 11:36,2/21/18 11:52,1,7.06,1,N,1,21.5,0.00E+00,0.5,4.46,0.00E+00,0.3,26.76,141,129
2,2/21/18 11:15,2/21/18 11:39,5,6.84,1,N,1,24.5,0.00E+00,0.5,5.06,0.00E+00,0.3,30.36,13,161
1,2/21/18 11:37,2/21/18 12:20,1,11.1,1,N,1,40,0.00E+00,0.5,11.6,5.76,0.3,58.16,230,138
2,2/21/18 12:07,2/21/18 12:50,1,8.48,1,N,1,37,0.00E+00,0.5,10.89,5.76,0.3,54.45,138,161
2,2/21/18 12:37,2/21/18 13:06,1,14.9,1,N,1,41.5,0.00E+00,0.5,8.46,0.00E+00,0.3,50.76,132,210
